,Wicklow,Wexford,Waterford,Sligo,Shannon,Rosslare,Roscommon,Portlaoise,Limerick,Killarney,Kilkenny,Galway,Dundalk,Dublin,Donegal,Derry,Cork,Belfast,Athlone
Wicklow,0,90,141,261,251,116,198,124,227,335,124,270,137,51,275,288,267,219,177
Wexford,90,0,63,307,214,19,222,114,190,254,80,253,227,142,372,378,178,309,188
Waterford,141,63,0,293,153,82,208,100,129,193,48,220,243,158,357,383,126,333,174
Sligo,261,307,293,0,219,327,85,191,232,343,245,138,167,217,66,135,336,206,117
Shannon,251,214,153,219,0,235,154,138,24,135,137,92,265,222,283,351,129,346,134
Rosslare,116,19,82,327,235,0,241,135,211,275,100,274,246,163,391,397,208,330,209
Roscommon,198,222,208,85,154,241,0,106,151,264,158,82,151,146,151,211,251,224,32
Portlaoise,124,114,100,191,138,135,106,0,114,225,51,150,151,84,257,282,174,253,74
Limerick,227,190,129,232,24,211,151,114,0,111,113,105,241,198,296,328,105,323,121
Killarney,335,254,193,343,135,275,264,225,111,0,198,193,352,309,407,441,87,436,232
Kilkenny,124,80,48,245,137,100,158,51,113,198,0,172,198,117,309,335,148,284,126
Galway,270,253,220,138,92,274,82,150,105,193,172,0,238,219,204,272,209,306,93
Dundalk,137,227,243,167,265,246,151,151,241,352,198,238,0,85,158,156,325,84,145
Dublin,51,142,158,217,222,163,146,84,198,309,117,219,85,0,222,237,257,167,126
Donegal,275,372,357,66,283,391,151,257,296,407,309,204,158,222,0,69,402,180,183
Derry,288,378,383,135,351,397,211,282,328,441,335,272,156,237,69,0,428,117,209
Cork,267,178,126,336,129,208,251,174,105,87,148,209,325,257,402,428,0,424,219
Belfast,219,309,333,206,346,330,224,253,323,436,284,306,84,167,180,117,424,0,227
Athlone,177,188,174,117,134,209,32,74,121,232,126,93,145,126,183,209,219,227,0
